lsoa,os,left,right,top,bottom
E01000001,E00000001,-0.099907858,-0.094389357,51.52158651,51.51482987
E01000002,E00000016,-0.095933503,-0.08812915,51.52143089,51.51409313
E01000003,E00000010,-0.097933684,-0.092730592,51.52325191,51.52024738
E01000005,E00000029,-0.080036058,-0.072719922,51.5174887,51.50973523
E01000006,E00000049,0.084917773,0.093600141,51.5417763,51.5373754
E01000007,E00000040,0.071908659,0.083292506,51.54280048,51.53840164
E01000008,E00000043,0.06668247,0.073498636,51.54441428,51.5361212
E01000009,E00000037,0.080232284,0.086781432,51.54274404,51.53789626
E01000010,E00000057,0.071307075,0.085493948,51.53974199,51.53360664
E01000011,E00000038,0.077740952,0.084820251,51.5447944,51.54132235
E01000012,E00000039,0.068745053,0.078839657,51.54461543,51.54122587
E01000013,E00000090,0.140558806,0.152758713,51.54633952,51.54113387
E01000014,E00000085,0.131886325,0.148613784,51.54665925,51.54071573
E01000015,E00000071,0.149835378,0.161556314,51.54834706,51.54172414
E01000016,E00000070,0.147015427,0.156699179,51.5513549,51.54591229
E01000017,E00000072,0.142749941,0.150319798,51.55127863,51.54575735
E01000018,E00000079,0.147897393,0.157618372,51.54899097,51.54400879
E01000019,E00000104,0.11612434,0.125107654,51.56082751,51.5552217
E01000020,E00000110,0.12194992,0.127687834,51.56015903,51.55143503
E01000021,E00000112,0.112724806,0.120412609,51.55731755,51.55092865
E01000022,E00000116,0.116394733,0.125184531,51.55585855,51.55249096
E01000023,E00000125,0.106181526,0.116421094,51.55429509,51.54889141
E01000024,E00000101,0.116156693,0.124375149,51.55327539,51.54872683
E01000025,E00000129,0.11355562,0.122536131,51.551417,51.54738874
E01000027,E00000138,0.129528635,0.151197641,51.59945164,51.58226901
E01000028,E00000137,0.126398022,0.133758984,51.58753986,51.58168299
E01000029,E00000140,0.12763915,0.141118645,51.58453169,51.577133
E01000030,E00000139,0.129710043,0.1417847,51.58679293,51.58029463
E01000031,E00000136,0.135637908,0.151083347,51.58707854,51.57205683
E01000032,E00000135,0.129234203,0.139535971,51.579785,51.57075627
E01000033,E00000168,0.159691009,0.167847553,51.55671349,51.55238989
E01000034,E00000170,0.163124859,0.180246877,51.56201875,51.55192805
E01000035,E00000167,0.15634925,0.169709303,51.55283294,51.54529775
E01000036,E00000174,0.156454416,0.179213211,51.54884488,51.54331072
E01000037,E00000181,0.173790931,0.185137197,51.56552178,51.55925065
E01000038,E00000182,0.1683199,0.179018116,51.5650986,51.5610299
E01000039,E00000192,0.164886039,0.190179947,51.56126579,51.54624377
E01000040,E00000213,0.092763566,0.102968793,51.53827247,51.5341085
E01000041,E00000200,0.112085855,0.122080323,51.53990468,51.53603503
E01000042,E00000205,0.100828028,0.112661533,51.53922958,51.53474172
E01000043,E00000227,0.094130505,0.105304924,51.53616789,51.53148332
E01000044,E00000201,0.081481361,0.094952251,51.53916304,51.53321938
E01000045,E00000199,0.103617447,0.117755696,51.53774742,51.53204727
E01000046,E00000204,0.116482079,0.122239136,51.53923771,51.53438231
E01000048,E00000235,0.080863715,0.086821566,51.53313754,51.53028849
E01000049,E00000236,0.080440893,0.091637762,51.53330682,51.52765442
E01000050,E00000246,0.082381903,0.089337964,51.53703444,51.53177908
E01000051,E00000248,0.079460796,0.084687765,51.53572546,51.53272622
E01000052,E00000234,0.087546122,0.100623589,51.53505335,51.52982035
E01000053,E00000265,0.137390828,0.148272406,51.53529364,51.53060302
E01000054,E00000272,0.128352264,0.137025365,51.53895306,51.53411706
E01000055,E00000267,0.122230401,0.13034553,51.53827825,51.5342608
E01000056,E00000269,0.132149746,0.14215577,51.53719851,51.53078352
E01000057,E00000274,0.122107306,0.130982263,51.54049092,51.53462129
E01000058,E00000280,0.130633247,0.14115381,51.54111486,51.53719512
E01000059,E00000266,0.137013291,0.146742474,51.54020425,51.53272887
E01000060,E00000299,0.146970023,0.168714456,51.56138431,51.5553799
E01000061,E00000305,0.149950002,0.168653215,51.56613522,51.55802022
E01000062,E00000312,0.14770785,0.156879522,51.55727554,51.55127854
E01000063,E00000298,0.142277895,0.15018233,51.55852073,51.55303127
E01000064,E00000307,0.152348654,0.160826098,51.55737484,51.55098295
E01000065,E00000316,0.136291406,0.149794966,51.55490074,51.55090873
E01000066,E00000331,0.101347166,0.109740617,51.55095711,51.5429817
E01000067,E00000332,0.094656944,0.105552249,51.54999499,51.54399988
